question,choice1,choice2,choice3,choice4,answer,score
《龍貓》中妹妹小梅想帶哪一種食物給其母親導致她迷路？,馬鈴薯,玉蜀黍,地瓜,大蘿蔔,玉蜀黍,10
《崖上的波妞》中波妞特別喜歡吃哪一種食物？,魚肉,吐司,火腿,人肉,火腿,10
《霍爾的移動城堡》中女主角蘇菲經營的店鋪是？,鞋店,服飾店,麵包店,帽子店,帽子店,10
《心之谷》中由女主角月島雫所唱，男主角天澤聖司伴奏的主題曲改編自哪首經典英文老歌？,Making Love Out Of Nothing At All,The Rose,Yesterday,"Take Me Home, Country Roads","Take Me Home, Country Roads",30
《紅豬》的男主角波魯克羅素是？,一個人,一頭豬,一個被變成豬的人,一頭被變成人的豬,一個被變成豬的人,10
吉卜力工作室的最新一部電影是？(從2016年往前推),《風起》,《回憶中的瑪妮》,《輝耀姬物語》,《腦筋急轉彎》,《回憶中的瑪妮》,30
下列關於《魔法公主》的敘述何者正確？,女主角小桑是被父母遺棄，由山犬扶養長大的女孩。,男主角阿席達卡為了解除母親身上的詛咒而踏上旅程。,劇中的小精靈是森林即將毀滅的象徵。,結局是阿席達卡犧牲生命換取大自然的原諒。,女主角小桑是被父母遺棄，由山犬扶養長大的女孩。,10
《神隱少女》中無臉男暴走的關鍵原因為何？,女主角小千不接受他贈與的金子。,女主角小千拒絕了他的告白。,湯屋員工不願意給他食物吃。,男主角白龍摘下了他的面具。,女主角小千不接受他贈與的金子。,10
哪一部作品是吉卜力工作室成立後的第一部作品？,《風之谷》,《天空之城》,《魔女宅急便》,《瘋狂麥斯：憤怒道》,《天空之城》,30
請推測下列何者為《霍爾的移動城堡》的台詞？,「這人身穿藍色上衣，飄然降臨在一片金黃色的草原上。」,風起，唯有努力試著生存。」,「這一次我不會再逃避了，因為我已經有可以保護的對象。那就是妳。」,「我想住在一個看的到海的城市！」,「這一次我不會再逃避了，因為我已經有可以保護的對象。那就是妳。」,20
《風之谷》中威脅人類生命的「腐海」有何作用？,上天給人類的懲罰。,王蟲的住所。,沒有用。,淨化被污染的土地。,淨化被污染的土地。,20
《魔女宅急便》講述一個隻身在外學習獨立的13歲魔女琪琪的故事。在成長的過程中，琪琪遇到了不少困難，請問下列何者並非琪琪所遇到的困難？,重感冒。,無法使用掃帚飛行。,黑貓吉吉突然變啞巴。,與收留自己的麵包店老闆娘關係決裂。,與收留自己的麵包店老闆娘關係決裂。,10
相較於宮崎駿奇幻又充滿想像力的風格，高畑勳的動畫則強調現實主義，忠實呈現真實世界的樣貌。請推測下列何者並非高畑勳執導的作品？,《螢火蟲之墓》,《輝耀姬物語》,《地海戰記》,《兒時的點點滴滴》,《地海戰記》,30
《天空之城》中女主角希達為何被海盜及軍方追緝？,她是天空之城拉普達的王室後裔。,她握有指引出天空之城拉普達方位的飛行石。,天空之城拉普達是一個充滿金銀財寶的地方。,她是惡名昭彰的大壞蛋。,她握有指引出天空之城拉普達方位的飛行石。,10
《風起》中男主角堀越二郎的夢想是成為？,飛行員,列車長,飛機設計師,火車設計師,飛機設計師,10
